row_id,gap_id,latitude,longitude,area_pixels,area_sqm,width_m,height_m,google_maps_link
8,3,46.18392896,23.85990019,59.0,7.1,2.5,2.9,https://maps.google.com/?q=46.183929,23.859900
8,4,46.18390571,23.85992924,31.0,2.0,1.3,1.5,https://maps.google.com/?q=46.183906,23.859929
8,5,46.18388161,23.85995938,49.0,5.0,2.1,2.4,https://maps.google.com/?q=46.183882,23.859959
8,6,46.18385464,23.85999309,72.0,10.7,3.0,3.5,https://maps.google.com/?q=46.183855,23.859993
8,7,46.18379402,23.86006873,192.0,76.0,8.1,9.4,https://maps.google.com/?q=46.183794,23.860069
8,8,46.18374271,23.86013285,34.0,2.4,1.4,1.6,https://maps.google.com/?q=46.183743,23.860133
8,9,46.18371219,23.86017095,89.0,16.5,3.8,4.4,https://maps.google.com/?q=46.183712,23.860171
8,10,46.18367223,23.86022082,87.0,15.7,3.7,4.3,https://maps.google.com/?q=46.183672,23.860221
9,1,46.18402032,23.85982263,30.0,1.9,1.3,1.5,https://maps.google.com/?q=46.184020,23.859823
9,2,46.18400209,23.85984565,48.0,4.7,2.0,2.3,https://maps.google.com/?q=46.184002,23.859846
9,3,46.18398321,23.85986949,23.0,1.1,1.0,1.1,https://maps.google.com/?q=46.183983,23.859869
9,4,46.18396495,23.85989251,53.0,5.7,2.2,2.6,https://maps.google.com/?q=46.183965,23.859893
9,5,46.18392456,23.85994349,101.0,20.8,4.3,4.9,https://maps.google.com/?q=46.183925,23.859943
9,6,46.18389504,23.85998076,33.0,2.3,1.4,1.6,https://maps.google.com/?q=46.183895,23.859981
9,7,46.18387265,23.86000898,62.0,7.8,2.6,3.0,https://maps.google.com/?q=46.183873,23.860009
9,8,46.18378730,23.86011669,325.0,215.6,13.7,15.7,https://maps.google.com/?q=46.183787,23.860117
9,9,46.18369196,23.86023699,108.0,23.9,4.6,5.2,https://maps.google.com/?q=46.183692,23.860237
10,1,46.18402320,23.85985853,77.0,12.1,3.2,3.7,https://maps.google.com/?q=46.184023,23.859859
10,2,46.18398702,23.85990402,83.0,14.1,3.5,4.0,https://maps.google.com/?q=46.183987,23.859904
10,3,46.18391027,23.86000049,257.0,135.5,10.8,12.5,https://maps.google.com/?q=46.183910,23.860000
10,4,46.18376286,23.86018355,379.0,301.2,16.0,18.8,https://maps.google.com/?q=46.183763,23.860184
11,1,46.18402833,23.85988950,104.0,22.2,4.4,5.1,https://maps.google.com/?q=46.184028,23.859889
11,2,46.18399068,23.85993664,44.0,4.1,1.9,2.2,https://maps.google.com/?q=46.183991,23.859937
11,3,46.18396425,23.85996980,69.0,9.8,2.9,3.4,https://maps.google.com/?q=46.183964,23.859970
11,4,46.18387167,23.86008572,342.0,240.1,14.4,16.6,https://maps.google.com/?q=46.183872,23.860086
11,5,46.18374532,23.86024384,223.0,102.1,9.4,10.8,https://maps.google.com/?q=46.183745,23.860244
12,1,46.18401273,23.85994760,238.0,117.5,10.0,11.7,https://maps.google.com/?q=46.184013,23.859948
12,2,46.18391438,23.86006982,206.0,87.9,8.7,10.1,https://maps.google.com/?q=46.183914,23.860070
12,3,46.18384051,23.86016163,105.0,22.7,4.4,5.1,https://maps.google.com/?q=46.183841,23.860162
12,4,46.18380572,23.86020493,43.0,3.9,1.8,2.1,https://maps.google.com/?q=46.183806,23.860205
12,5,46.18376898,23.86025069,106.0,23.2,4.5,5.2,https://maps.google.com/?q=46.183769,23.860251
12,6,46.18372809,23.86030167,66.0,9.0,2.8,3.2,https://maps.google.com/?q=46.183728,23.860302
13,1,46.18407157,23.85991170,21.0,0.9,0.9,1.0,https://maps.google.com/?q=46.184072,23.859912
13,2,46.18405500,23.85993225,42.0,3.7,1.8,2.1,https://maps.google.com/?q=46.184055,23.859932
13,3,46.18400914,23.85998925,158.0,51.6,6.7,7.7,https://maps.google.com/?q=46.184009,23.859989
13,4,46.18391100,23.86011120,277.0,158.9,11.7,13.6,https://maps.google.com/?q=46.183911,23.860111
13,5,46.18380912,23.86023781,169.0,59.1,7.1,8.3,https://maps.google.com/?q=46.183809,23.860238
13,6,46.18375200,23.86030879,62.0,8.0,2.6,3.0,https://maps.google.com/?q=46.183752,23.860309
13,7,46.18372731,23.86033949,38.0,3.0,1.6,1.9,https://maps.google.com/?q=46.183727,23.860339
14,1,46.18408166,23.85993636,25.0,1.3,1.1,1.2,https://maps.google.com/?q=46.184082,23.859936
14,2,46.18406752,23.85995390,31.0,2.0,1.3,1.5,https://maps.google.com/?q=46.184068,23.859954
14,3,46.18403957,23.85998870,44.0,4.1,1.9,2.2,https://maps.google.com/?q=46.184040,23.859989
14,4,46.18402509,23.86000679,16.0,0.5,0.7,0.8,https://maps.google.com/?q=46.184025,23.860007
14,5,46.18400349,23.86003365,60.0,7.4,2.5,2.9,https://maps.google.com/?q=46.184003,23.860034
14,6,46.18397818,23.86006516,41.0,3.5,1.7,2.0,https://maps.google.com/?q=46.183978,23.860065
14,7,46.18395636,23.86009230,52.0,5.6,2.2,2.6,https://maps.google.com/?q=46.183956,23.860092
14,8,46.18392512,23.86013121,40.0,3.3,1.7,2.0,https://maps.google.com/?q=46.183925,23.860131
14,9,46.18388592,23.86017999,78.0,12.6,3.3,3.8,https://maps.google.com/?q=46.183886,23.860180
14,10,46.18384648,23.86022905,95.0,18.6,4.0,4.6,https://maps.google.com/?q=46.183846,23.860229
14,11,46.18377197,23.86032167,181.0,68.0,7.6,8.9,https://maps.google.com/?q=46.183772,23.860322
15,1,46.18399105,23.86008764,497.0,507.4,21.0,24.2,https://maps.google.com/?q=46.183991,23.860088
15,2,46.18387238,23.86023617,19.0,0.8,0.8,1.0,https://maps.google.com/?q=46.183872,23.860236
15,3,46.18385362,23.86025919,63.0,8.4,2.7,3.2,https://maps.google.com/?q=46.183854,23.860259
15,4,46.18381361,23.86030824,78.0,12.8,3.3,3.9,https://maps.google.com/?q=46.183814,23.860308
15,5,46.18378433,23.86034415,47.0,4.7,2.0,2.4,https://maps.google.com/?q=46.183784,23.860344
15,6,46.18376446,23.86036854,28.0,1.7,1.2,1.4,https://maps.google.com/?q=46.183764,23.860369
15,7,46.18375083,23.86038525,25.0,1.4,1.1,1.3,https://maps.google.com/?q=46.183751,23.860385
16,1,46.18410851,23.85997692,15.0,0.5,0.6,0.7,https://maps.google.com/?q=46.184109,23.859977
16,2,46.18409041,23.85999939,61.0,7.8,2.6,3.0,https://maps.google.com/?q=46.184090,23.859999
16,3,46.18405295,23.86004598,53.0,5.9,2.2,2.6,https://maps.google.com/?q=46.184053,23.860046
16,4,46.18403441,23.86006900,15.0,0.5,0.6,0.7,https://maps.google.com/?q=46.184034,23.860069
16,5,46.18401789,23.86008955,54.0,6.0,2.3,2.6,https://maps.google.com/?q=46.184018,23.860090
16,6,46.18398482,23.86013066,92.0,17.5,3.9,4.5,https://maps.google.com/?q=46.183985,23.860131
16,7,46.18394006,23.86018629,95.0,18.8,4.0,4.7,https://maps.google.com/?q=46.183940,23.860186
16,8,46.18390920,23.86022466,37.0,2.9,1.6,1.8,https://maps.google.com/?q=46.183909,23.860225
16,9,46.18388120,23.86025946,82.0,13.9,3.5,4.0,https://maps.google.com/?q=46.183881,23.860259
16,10,46.18385562,23.86029125,20.0,0.9,0.8,1.0,https://maps.google.com/?q=46.183856,23.860291
16,11,46.18381240,23.86034497,150.0,46.7,6.3,7.4,https://maps.google.com/?q=46.183812,23.860345
16,12,46.18376501,23.86040389,35.0,2.5,1.5,1.7,https://maps.google.com/?q=46.183765,23.860404
17,1,46.18410251,23.86002323,88.0,16.3,3.7,4.4,https://maps.google.com/?q=46.184103,23.860023
17,2,46.18407182,23.86006078,37.0,2.9,1.6,1.8,https://maps.google.com/?q=46.184072,23.860061
17,3,46.18405347,23.86008325,37.0,2.9,1.6,1.9,https://maps.google.com/?q=46.184053,23.860083
17,4,46.18403532,23.86010545,28.0,1.7,1.2,1.4,https://maps.google.com/?q=46.184035,23.860105
17,5,46.18402029,23.86012381,27.0,1.5,1.1,1.3,https://maps.google.com/?q=46.184020,23.860124
17,6,46.18398269,23.86017012,124.0,31.9,5.2,6.1,https://maps.google.com/?q=46.183983,23.860170
17,7,46.18393816,23.86022576,69.0,9.9,2.9,3.4,https://maps.google.com/?q=46.183938,23.860226
17,8,46.18390320,23.86026960,81.0,13.5,3.4,4.0,https://maps.google.com/?q=46.183903,23.860270
17,9,46.18384985,23.86033647,141.0,40.6,5.9,6.8,https://maps.google.com/?q=46.183850,23.860336
17,10,46.18379394,23.86040663,105.0,22.7,4.4,5.1,https://maps.google.com/?q=46.183794,23.860407
18,1,46.18412052,23.86003858,64.0,8.6,2.7,3.2,https://maps.google.com/?q=46.184121,23.860039
18,2,46.18404501,23.86013121,266.0,148.4,11.2,13.2,https://maps.google.com/?q=46.184045,23.860131
18,3,46.18394469,23.86025563,176.0,63.4,7.4,8.5,https://maps.google.com/?q=46.183945,23.860256
18,4,46.18388490,23.86033099,97.0,19.5,4.1,4.8,https://maps.google.com/?q=46.183885,23.860331
18,5,46.18384490,23.86038059,42.0,3.7,1.8,2.1,https://maps.google.com/?q=46.183845,23.860381
18,6,46.18380924,23.86042472,91.0,17.3,3.8,4.5,https://maps.google.com/?q=46.183809,23.860425
19,1,46.18413358,23.86005886,58.0,7.0,2.4,2.9,https://maps.google.com/?q=46.184134,23.860059
19,2,46.18409465,23.86010737,111.0,25.4,4.7,5.4,https://maps.google.com/?q=46.184095,23.860107
19,3,46.18405373,23.86015834,69.0,9.9,2.9,3.4,https://maps.google.com/?q=46.184054,23.860158
19,4,46.18400600,23.86021781,146.0,44.3,6.2,7.2,https://maps.google.com/?q=46.184006,23.860218
19,5,46.18396402,23.86027015,27.0,1.5,1.1,1.3,https://maps.google.com/?q=46.183964,23.860270
19,6,46.18392457,23.86031948,111.0,25.4,4.7,5.4,https://maps.google.com/?q=46.183925,23.860319
19,7,46.18385749,23.86040334,179.0,66.3,7.6,8.8,https://maps.google.com/?q=46.183857,23.860403
20,1,46.18413993,23.86008818,61.0,7.8,2.6,3.0,https://maps.google.com/?q=46.184140,23.860088
20,2,46.18412001,23.86011285,19.0,0.8,0.8,1.0,https://maps.google.com/?q=46.184120,23.860113
20,3,46.18410358,23.86013313,41.0,3.6,1.7,2.1,https://maps.google.com/?q=46.184104,23.860133
20,4,46.18408229,23.86015944,25.0,1.3,1.1,1.2,https://maps.google.com/?q=46.184082,23.860159
20,5,46.18406744,23.86017780,28.0,1.6,1.2,1.3,https://maps.google.com/?q=46.184067,23.860178
20,6,46.18402555,23.86022959,85.0,15.1,3.6,4.2,https://maps.google.com/?q=46.184026,23.860230
20,7,46.18398173,23.86028468,78.0,12.4,3.3,3.8,https://maps.google.com/?q=46.183982,23.860285
20,8,46.18392512,23.86035620,173.0,60.9,7.3,8.3,https://maps.google.com/?q=46.183925,23.860356
20,9,46.18384922,23.86045212,161.0,53.0,6.8,7.8,https://maps.google.com/?q=46.183849,23.860452
21,1,46.18415658,23.86010572,33.0,2.3,1.4,1.6,https://maps.google.com/?q=46.184157,23.860106
21,2,46.18411374,23.86015889,145.0,43.6,6.1,7.1,https://maps.google.com/?q=46.184114,23.860159
21,3,46.18395409,23.86035703,554.0,635.4,23.4,27.2,https://maps.google.com/?q=46.183954,23.860357
22,1,46.18415276,23.86014820,46.0,4.4,1.9,2.3,https://maps.google.com/?q=46.184153,23.860148
22,2,46.18399597,23.86034579,669.0,913.5,28.2,32.4,https://maps.google.com/?q=46.183996,23.860346
